Country/territory,Fossil CO2 emissions (ktCO2/year),Fossil CO2 emissions (ktCO2/year),Fossil CO2 emissions (ktCO2/year),Fossil CO2 emissions (ktCO2/year),Fossil CO2 emissions (ktCO2/year),Per capita (tCO2/year),% of world,Change (1990=100%)
Kazakhstan,128715.2,248531.2,181844.1,224320.8,245886.3,12.85,0.638%,98.9%
Kenya,3749.4,6469.0,9023.8,19938.8,21527.4,0.38,0.056%,332.8%
Kyrgyzstan,11814.6,23656.3,5373.4,9594.4,10303.4,1.6,0.027%,43.6%
Cambodia,213.2,422.9,2700.8,11849.1,17618.9,1.03,0.046%,"4,166.3%"
Kiribati,18.8,16.5,65.5,80.5,74.0,0.59,0.000%,449.6%
Saint Kitts and Nevis,14.7,19.5,56.5,95.0,101.9,1.76,0.000%,522.0%
South Korea,62022.0,272123.8,515395.5,668139.6,635503.0,12.26,1.650%,233.5%
Kuwait,38308.5,32313.9,75152.3,95909.5,110119.6,24.9,0.286%,340.8%
Laos,288.3,252.6,1302.6,19244.1,20125.9,2.74,0.052%,"7,969.0%"
Lebanon,5431.5,5974.5,16573.8,29296.5,23766.1,4.05,0.062%,397.8%
Liberia,971.4,381.4,685.0,1168.3,1622.8,0.3,0.004%,425.5%
Libya,39295.2,32508.4,57548.8,55020.5,62743.0,9.2,0.163%,193.0%
Saint Lucia,29.5,66.7,107.2,179.3,254.8,1.39,0.001%,381.9%
Sri Lanka,3119.8,4237.3,14418.6,23402.9,18535.9,0.87,0.048%,437.4%
Lesotho,73.6,110.7,410.5,679.5,779.0,0.33,0.002%,703.9%
Lithuania,19106.3,34935.8,13914.7,13957.6,13263.8,4.69,0.034%,38.0%
Luxembourg,18385.7,11711.4,12114.1,9188.2,7586.8,12.26,0.020%,64.8%
Latvia,12590.0,19703.9,8019.5,7403.6,6705.4,3.61,0.017%,34.0%
Macau,303.8,929.4,2175.5,3198.5,2247.4,3.34,0.006%,241.8%
Morocco,6935.9,22460.8,44495.4,63846.5,72642.0,1.92,0.189%,323.4%
Moldova,16761.3,31756.9,8172.8,8189.6,8652.1,2.17,0.022%,27.2%
Madagascar,768.4,907.8,1788.0,3552.1,3190.0,0.11,0.008%,351.4%
Maldives,9.9,93.1,727.5,1874.2,2181.1,4.62,0.006%,"2,341.7%"
Mexico,120905.0,289977.6,446873.3,498902.0,487774.0,3.56,1.266%,168.2%
North Macedonia,9108.1,11189.9,9662.9,7986.1,8336.5,3.99,0.022%,74.5%
Mali,247.0,324.4,950.7,4910.5,6726.0,0.31,0.017%,"2,073.5%"
Malta,682.9,2321.8,2634.7,1534.4,1715.4,3.93,0.004%,73.9%
Myanmar,4728.4,4427.4,11244.8,33735.5,37394.0,0.67,0.097%,844.6%
Mongolia,5580.7,13148.0,11107.4,19977.1,22095.3,6.71,0.057%,168.1%
Mozambique,3158.2,1161.9,2665.5,8311.5,10028.2,0.29,0.026%,863.1%
Mauritania,333.2,717.5,1547.3,3620.3,4611.6,0.92,0.012%,642.7%
Martinique,213.1,686.5,672.1,867.3,899.2,2.34,0.002%,131.0%
Mauritius,305.7,1186.1,2978.3,4215.2,4281.8,3.35,0.011%,361.0%
Malawi,345.6,1542.4,3572.1,5362.2,5627.5,0.26,0.015%,364.8%
Malaysia,13707.9,56494.3,176927.3,234998.3,277531.8,8.23,0.720%,491.3%
Namibia,739.9,1270.6,2591.9,4185.3,4287.8,1.53,0.011%,337.5%
New Caledonia,1047.4,1569.9,2822.5,5004.4,5361.8,18.24,0.014%,341.5%
Niger,210.5,620.5,792.5,1969.3,2633.2,0.1,0.007%,424.4%
Nigeria,28841.1,74380.7,100015.8,112796.6,122750.4,0.57,0.319%,165.0%
Nicaragua,1654.8,1964.0,4399.9,5670.7,5734.4,0.88,0.015%,292.0%
Netherlands,134092.3,163880.0,181201.6,168545.2,134663.6,7.79,0.350%,82.2%
Norway,35934.5,36455.2,43519.0,46347.7,42283.7,7.62,0.110%,116.0%
Nepal,281.1,1088.6,3275.8,13370.0,15847.3,0.51,0.041%,"1,455.8%"
New Zealand,14868.7,23822.8,36187.2,36212.7,32371.1,6.58,0.084%,135.9%
Oman,7320.6,15554.9,32943.4,82273.2,91649.1,17.09,0.238%,589.2%
Pakistan,17847.2,65498.1,132776.4,210288.7,199329.9,0.92,0.517%,304.3%
Panama,2597.6,2718.2,7099.0,10145.7,11384.0,2.58,0.030%,418.8%
Peru,17411.5,20833.1,31829.8,55132.7,61610.4,1.81,0.160%,295.7%
Philippines,26368.4,43552.0,79592.8,136584.0,155380.9,1.38,0.403%,356.8%
Palau,1993.9,2155.0,1734.1,1196.2,1357.1,59.0,0.004%,63.0%
Papua New Guinea,1129.5,2108.0,5477.1,6597.2,4715.9,0.52,0.012%,223.7%
Poland,308756.4,370989.5,317019.7,330749.4,321954.0,8.53,0.836%,86.8%
Puerto Rico,28461.4,18592.2,25693.9,11312.0,12616.6,3.47,0.033%,67.9%
North Korea,75980.6,131964.5,79737.4,55370.1,54403.8,2.09,0.141%,41.2%
Portugal,16475.3,43727.7,67750.4,55117.0,41281.7,4.07,0.107%,94.4%
Paraguay,632.3,2181.0,3802.7,8447.1,9932.6,1.37,0.026%,455.4%
French Polynesia,141.6,833.4,999.8,1026.4,956.7,3.25,0.002%,114.8%
Qatar,14714.5,16994.4,43582.7,101532.3,102618.0,35.52,0.266%,603.8%
Réunion,367.7,937.7,2384.3,2657.3,2736.5,3.01,0.007%,291.8%
Romania,126376.3,186365.1,102361.0,81256.3,77289.0,4.03,0.201%,41.5%
Russia,1413943.0,2353966.8,1719005.0,1730522.5,1909039.3,13.31,4.956%,81.1%
Rwanda,69.7,553.0,741.7,1309.3,1626.4,0.12,0.004%,294.1%
Saudi Arabia,46923.9,173597.0,345932.3,602841.9,607907.5,16.98,1.578%,350.2%
Serbia and Montenegro,30293.6,66149.2,61576.1,59447.9,56874.4,6.13,0.148%,86.0%
Sudan,3437.1,5546.5,10834.5,23635.0,24523.2,0.4,0.064%,442.1%
Senegal,1349.0,2364.8,5748.3,9977.8,12074.7,0.67,0.031%,510.6%
Singapore,6539.0,31580.5,41618.4,56897.4,53439.7,8.85,0.139%,169.2%
"Saint Helena, Ascension and Tristan da Cunha",2.8,9.5,9.7,16.4,17.9,4.48,0.000%,187.6%
Solomon Islands,65.9,156.1,317.6,340.2,318.1,0.47,0.001%,203.7%
Sierra Leone,361.6,644.0,570.5,999.5,1099.7,0.13,0.003%,170.8%
El Salvador,1601.2,2593.0,7030.5,6628.5,7972.4,1.22,0.021%,307.5%
Somalia,571.2,639.8,759.0,791.6,940.6,0.06,0.002%,147.0%
Saint Pierre and Miquelon,36.4,85.7,21.6,34.3,37.1,5.3,0.000%,43.3%
São Tomé and Príncipe,14.4,39.3,89.9,140.8,157.9,0.7,0.000%,402.0%
Suriname,626.8,634.7,1687.1,2448.0,3289.0,5.6,0.009%,518.2%
Slovakia,43801.9,60118.1,41806.1,37305.6,35233.2,6.46,0.091%,58.6%
Slovenia,10453.5,14940.5,17636.1,15348.3,13946.9,6.7,0.036%,93.3%
Sweden,94331.2,56537.4,55023.8,43312.5,37850.2,3.69,0.098%,66.9%
Eswatini,224.6,1105.0,989.7,1110.0,1348.9,0.91,0.004%,122.1%
Seychelles,106.9,270.7,970.5,1088.5,1095.1,11.29,0.003%,404.5%
Syria,6327.5,32960.0,58764.2,26527.5,28237.4,1.38,0.073%,85.7%
Turks and Caicos Islands,3.2,4.8,31.3,80.7,88.4,2.33,0.000%,"1,858.0%"
Chad,153.7,238.7,464.0,2097.0,2110.4,0.12,0.005%,884.1%
Togo,348.1,754.7,1311.0,1820.2,2438.0,0.28,0.006%,323.0%
Thailand,18108.0,93926.4,228703.3,274037.0,282445.8,4.06,0.733%,300.7%
Tajikistan,6977.0,12324.1,3191.3,6933.4,10551.3,1.07,0.027%,85.6%
Turkmenistan,28337.1,45700.8,52925.0,66564.9,69882.9,11.27,0.181%,152.9%
Timor-Leste,1.4,1.7,350.8,697.6,572.6,0.4,0.001%,"33,040.5%"
Tonga,18.9,87.7,128.8,180.6,166.9,1.48,0.000%,190.2%
Trinidad and Tobago,6359.1,12670.2,34046.3,32309.7,29217.4,21.17,0.076%,230.6%
Tunisia,4252.9,14722.5,23439.7,30159.1,35915.4,2.96,0.093%,243.9%
Turkey,45127.4,155020.1,245648.5,434080.1,481247.5,5.66,1.249%,310.4%
Taiwan,36262.9,121770.5,266891.9,289780.2,275574.0,11.52,0.715%,226.3%
Tanzania,1568.0,2083.9,5931.4,12016.4,16978.7,0.25,0.044%,814.8%
Uganda,936.8,830.3,2219.8,6000.7,7540.3,0.15,0.020%,908.2%
Ukraine,523303.5,779582.3,353020.1,200128.0,132541.5,3.07,0.344%,17.0%
Uruguay,5298.0,3924.9,5519.8,6341.0,8541.5,2.43,0.022%,217.6%
United States,4595406.7,4984066.7,5888498.7,4959631.9,4853780.2,14.44,12.600%,97.4%
Uzbekistan,79096.1,127483.1,121441.9,114968.7,132433.5,3.89,0.344%,103.9%
Saint Vincent and the Grenadines,11.2,27.5,61.4,99.7,82.8,0.75,0.000%,300.9%
Venezuela,57144.8,102258.7,155614.0,147806.4,96924.9,2.86,0.252%,94.8%
British Virgin Islands,7.3,17.2,34.7,61.4,64.7,1.96,0.000%,375.3%
Vietnam,17507.2,20584.6,100556.2,229728.9,327905.6,3.27,0.851%,"1,593.0%"
Vanuatu,75.2,100.3,94.9,194.1,218.1,0.71,0.001%,217.5%
Samoa,65.9,120.8,231.4,369.0,355.4,1.75,0.001%,294.2%
Yemen,1627.9,7088.6,21980.7,10385.1,12263.2,0.39,0.032%,173.0%
South Africa,185563.9,313362.3,434311.5,468964.8,404974.5,6.75,1.051%,129.2%
Zambia,3700.4,3028.7,2470.4,7338.8,9270.7,0.47,0.024%,306.1%
Zimbabwe,9529.6,17387.1,11436.4,10242.7,10223.7,0.55,0.027%,58.8%
World,15825424.0,22516769.0,29924589.0,36890295.0,38521998.0,4.84,100%,171.1%
EU27,3488583.0,3793290.0,3672609.0,3113155.0,2804806.0,6.32,7.281%,73.9%
International Aviation,168603.0,258270.0,417746.0,583315.0,420366.0,,1.091%,162.8%
International Shipping,353846.0,370696.0,571139.0,705980.0,709706.0,,1.842%,191.5%
